Job Title,Company,Location,Skill,Role,City
Investment Performance and Composite Analyst,Crisil,"Pune, Maharashtra  ","accounting, r",Financial Analyst,Pune
Research Analyst,Crisil,"Mumbai, Maharashtra  ",r,Financial Analyst,Mumbai
Senior Rating Analyst,Crisil,"Pune, Maharashtra  ",r,Financial Analyst,Pune
Associate,"Birla Open Minds International School,Purnea","Kurnool, Andhra Pradesh  ",r,Financial Analyst,Kurnool
Financial Analyst,Skillfied Mentor Jobs,India,"excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Mumbai
Management Trainee,Crisil,"Chennai, Tamil Nadu  ","valuation, accounting, r",Financial Analyst,Chennai
Management Trainee,Crisil,"Chennai, Tamil Nadu  ",r,Financial Analyst,Chennai
Senior Rating Analyst,Crisil,"Gurgaon, Haryana  ",r,Financial Analyst,Gurgaon
Lead Analyst - Loan Operations,Crisil,"Gurugram, Haryana  ",r,Financial Analyst,Gurugram
Research Analyst / Senior Research Analyst for Buyside Credit Research,Crisil,"Pune, Maharashtra  ","excel, sql, financial modeling, forecasting, accounting",Financial Analyst,Pune
Senior Rating Analyst,Crisil,"Mumbai, Maharashtra  ",r,Marketing Analyst,Mumbai
Senior Research Analyst,Crisil,"Mumbai, Maharashtra  ",r,Marketing Analyst,Mumbai
Business Analyst Intern,UM IT Solutions,India,r,Marketing Analyst,Mumbai
Senior Analyst - Loan Review/Credit Risk Assessment,Crisil,"Mumbai, Maharashtra  ","google analytics, seo, excel, content marketing",Marketing Analyst,Mumbai
Senior Research Analyst,Crisil,"Mumbai, Maharashtra  ","google analytics, seo, excel, content marketing",Marketing Analyst,Mumbai
Senior Data Analyst,Analyttica Datalab,"Bengaluru, Karnataka  ",r,Marketing Analyst,Bengaluru
Senior / Research Analyst - Credit Analysis of Financial Institutions,Crisil,"Mumbai, Maharashtra  ","google analytics, seo, excel, content marketing",Marketing Analyst,Mumbai
Business Analyst-ADM,IBM,"Mumbai, Maharashtra  ",r,Marketing Analyst,Mumbai
Business Analyst- Program Management,Crisil,"Pune, Maharashtra  ","excel, agile, r, communication, agile, leadership, go, excel",Marketing Analyst,Pune
Senior Research Analyst,Crisil,"Pune, Maharashtra  ",r,Marketing Analyst,Pune
Research Analyst / Senior Research Analyst - Credit Analysis of Funds,Crisil,"Gurgaon, Haryana  ","google analytics, seo, excel, content marketing",Marketing Analyst,Gurgaon
Senior credit analyst - FI,Crisil,"Pune, Maharashtra  ",r,Marketing Analyst,Pune
Business Analyst Internship – For Students & Freshers (Remote),SkillFied Mentor,India,"google analytics, seo, excel, content marketing",Marketing Analyst,Kolkata
Business Analyst Intern,UM IT PRIVATE LIMITED,India,r,Marketing Analyst,Kolkata
Senior Analyst,Crisil,"Mumbai, Maharashtra  ",r,Marketing Analyst,Mumbai
Senior credit analyst - Insurance,Crisil,"Pune, Maharashtra  ",r,Marketing Analyst,Pune
Associate Manager - Product Marketing,LIXIL,"Gurugram, Haryana  ",r,Marketing Analyst,Gurugram
Research & Business Analyst Intern,Skillfied Mentor Jobs,India,r,Marketing Analyst,Kolkata
Senior FP&A Analyst,Allegion,"Bengaluru, Karnataka  ",r,Marketing Analyst,Bengaluru
Business Analyst Intern | Requirement Gathering,Skillfied Mentor Jobs,India,"google analytics, seo, excel, content marketing",Marketing Analyst,Kolkata
Senior Rating Analyst,Crisil,"Pune, Maharashtra  ",r,Marketing Analyst,Pune
Business Analyst- Program Management,Crisil,"Pune, Maharashtra  ","excel, agile, r, communication, agile, leadership, excel",Marketing Analyst,Pune
Senior Rating Analyst,Crisil,"Gurgaon, Haryana  ",r,Marketing Analyst,Gurgaon
Business Analyst Intern,SkillFied Mentor,India,r,Marketing Analyst,Kolkata
Research Analyst / Senior Research Analyst for Buyside Credit Research,Crisil,"Pune, Maharashtra  ","google analytics, seo, excel, content marketing",Marketing Analyst,Pune
Automation Engineer,ABB,"Pune, Maharashtra  ","excel, r, excel",Product Manager,Pune
Senior Agency Manager,Aditya Birla Sun Life Insurance,"Nayagarh, Odisha  ",r,Product Manager,Nayagarh
Associate Manager - Product Marketing,LIXIL,"Gurugram, Haryana  ",r,Product Manager,Gurugram
Brand Solutions Manager (Content Strategist),URPopular - Influencer Marketing Co,"Mumbai, Maharashtra  ",r,Product Manager,Mumbai
Corporate Social Responsibility Senior Manager,RAMAN KANT MUNJAL FOUNDATION,"Gurugram, Haryana  ","leadership, r",Product Manager,Gurugram
Product Manager,ValGenesis,"Chennai, Tamil Nadu  ","excel, git, dataanalysis, r, creativity, go, excel",Product Manager,Chennai
Associate Product Manager,LIXIL,"Gurugram, Haryana  ",r,Product Manager,Gurugram
Senior Food Regulatory Manager (Exports Labelling) - Mumbai,LabelBlind®️,"Mumbai, Maharashtra  ","agile, jira, product roadmap, stakeholder management, communication",Product Manager,Mumbai
Senior Relationship Manager-Business Banking,IDFC FIRST Bank,"Bengaluru, Karnataka  ","agile, jira, product roadmap, stakeholder management, communication",Product Manager,Bengaluru
Product Manager – Product Operations & Engagement,Fitterfly,"Navi Mumbai, Maharashtra  ","agile, jira, product roadmap, stakeholder management, communication",Product Manager,Navi Mumbai
Retention Marketing Manager,Furrl,"Bengaluru, Karnataka  ","agile, jira, product roadmap, stakeholder management, communication",Product Manager,Bengaluru
Analyst/Associate,DBS Bank,Pune/Pimpri-Chinchwad Area,"agile, jira, product roadmap, stakeholder management, communication",Product Manager,Pune/Pimpri-Chinchwad Area
CGI and Product Photo Manager (d/f/m),LIXIL,"Gurugram, Haryana  ","excel, creativity, businessstrategy, r, excel",Product Manager,Gurugram
Senior Manager- Institutional sales,Bioprime™,"Pune, Maharashtra  ",r,Product Manager,Pune
Business Development Manager,Impact Blueprint,"Bengaluru, Karnataka  ",r,Product Manager,Bengaluru
Product Engineering Manager,"Walker Digital Table Systems, LLC","Gurugram, Haryana  ","git, r",Product Manager,Gurugram
Marketing Content Manager,Loop Subscriptions,"Gurugram, Haryana  ",r,Product Manager,Gurugram
HRSS Intern - People Services,Crisil,"Mumbai, Maharashtra  ",r,Human Resources Manager,Mumbai
